"1,2,3-propentricarbonsäure",—,f
"1,2-benzoldicarbonsäure",—,f
"1,2-propandiol",—,n
"1,4-benzoldicarbonsäure",—,f
"1,4-butandiol",—,n
"2,3,4,5,6-pentahydroxyhexansäure",—,f
"2,3-dihydroxybernsteinsäure",—,f
"2,3-dihydroxybutandisäure",—,f
"2,4,6-trihydroxypyrimidin",—,n
"2,4,6-trinitrophenol",—,n
"2,6,8-trihydroxypurin",—,n
"3,4,5-trihydroxybenzoesäure",—,f
"abieta-7,14-dien-19-carbonsäure",—,f
"n,n’-malonylharnstoff",—,m
,westkarpaten,f
-,actiniden,m
1-benzolethansäure,—,f
1-butanol,—,n
1-cent-münze,1-cent-münzen,f
1-cent-stück,1-cent-stücke,n
1-dodecanol,—,n
1-euro-job,1-euro-jobs,m
1-euro-jobber,1-euro-jobber,m
1-euro-münze,1-euro-münzen,f
1-euro-stück,1-euro-stücke,n
1-hexanol,—,n
1-pentanol,—,n
1-raum-wohnung,1-raum-wohnungen,f
1-zimmer-wohnung,1-zimmer-wohnungen,f
10-cent-münze,10-cent-münzen,f
10-cent-stück,10-cent-stücke,n
10-euro-schein,10-euro-scheine,m
10-franken-note,10-franken-noten,f
10-franken-schein,10-franken-scheine,m
10-mark-schein,10-mark-scheine,m
10-pfennig-stück,10-pfennig-stücke,n
10-uhr-vorstellung,10-uhr-vorstellungen,f
10-uhr-zug,10-uhr-züge,m
100-euro-schein,100-euro-scheine,m
100-franken-note,100-franken-noten,f
100-franken-schein,100-franken-scheine,m
100-mark-schein,100-mark-scheine,m
1000-franken-note,1000-franken-noten,f
1000-franken-schein,1000-franken-scheine,m
1000-mark-schein,1000-mark-scheine,m
2-acetoxybenzoesäure,—,f
2-amino-3-methylbutansäure,—,f
2-aminobutandisäure,—,f
2-aminoisovaleriansäure,—,f
2-butanon,—,n
2-cent-münze,2-cent-münzen,f
2-cent-stück,2-cent-stücke,n
2-euro-münze,2-euro-münzen,f
2-euro-stück,2-euro-stücke,n
2-hexanol,—,n
2-hydroxybenzoesäure,—,f
2-hydroxypropansäure,—,f
2-mark-schein,2-mark-scheine,m
2-methyl-1-propanol,—,n
2-methyl-2-propanol,—,n
2-oxopropansäure,—,f
2-propanol,—,n
2-propen-1-ol,—,n
2-propenal,—,n
2-propenol,—,n
20-cent-münze,20-cent-münzen,f
20-cent-stück,20-cent-stücke,n
20-euro-schein,20-euro-scheine,m
20-franken-note,20-franken-noten,f
20-franken-schein,20-franken-scheine,m
20-mark-schein,20-mark-scheine,m
200-euro-schein,200-euro-scheine,m
200-franken-note,200-franken-noten,f
200-franken-schein,200-franken-scheine,m
200-mark-schein,200-mark-scheine,m
3-d-drucker,3-d-drucker,m
3-hexanol,—,n
3-phenylacrylsäure,—,f
3-uhr-vorstellung,3-uhr-vorstellungen,f
3-uhr-zug,3-uhr-züge,m
4-amino-1-benzolsulfonsäure,—,f
4-aminobutansäure,—,f
4-hydroxybutansäure,—,f
40-stunden-woche,40-stunden-wochen,f
400-euro-job,400-euro-jobs,m
400-euro-jobber,400-euro-jobber,m
450-euro-job,450-euro-jobs,m
5-cent-münze,5-cent-münzen,f
5-cent-stück,5-cent-stücke,n
5-euro-schein,5-euro-scheine,m
5-mark-schein,5-mark-scheine,m
5-uhr-vorstellung,5-uhr-vorstellungen,f
5-uhr-zug,5-uhr-züge,m
50-cent-münze,50-cent-münzen,f
50-cent-stück,50-cent-stücke,n
50-euro-schein,50-euro-scheine,m
50-franken-note,50-franken-noten,f
50-franken-schein,50-franken-scheine,m
50-mark-schein,50-mark-scheine,m
500-euro-schein,500-euro-scheine,m
500-mark-schein,500-mark-scheine,m
